;Ano;FT_Goals_H;FT_Goals_A;Odds_0x0;Odds_1x1;Odds_2x2;Odds_3x3;Odds_0x1;Odds_0x2;Odds_0x3;Odds_1x0;Odds_1x2;Odds_1x3;Odds_2x0;Odds_2x1;Odds_2x3;Odds_3x0;Odds_3x1;Odds_3x2
216;2020;3;1;12.00;7.00;13.00;51.00;7.00;8.00;13.00;15.00;7.00;11.00;26.00;14.00;20.00;71.00;41.00;36.00
217;2020;0;0;11.00;7.00;15.00;81.00;14.00;31.00;101.00;6.00;17.00;51.00;7.00;7.00;56.00;11.00;12.00;23.00
218;2020;2;0;7.00;6.00;15.00;91.00;6.00;10.00;21.00;8.00;8.50;21.00;15.00;11.00;36.00;41.00;31.00;46.00
219;2020;2;0;10.00;7.00;15.00;71.00;13.00;26.00;91.00;6.00;15.00;51.00;7.50;7.00;56.00;12.00;12.00;23.00
220;2020;2;0;9.50;7.50;19.00;101.00;15.00;41.00;151.00;5.00;19.00;76.00;6.00;7.00;76.00;10.00;12.00;26.00
221;2020;1;5;10.00;6.50;12.00;56.00;7.00;9.00;17.00;11.00;7.50;13.00;20.00;12.00;21.00;46.00;31.00;34.00
222;2020;0;0;7.00;5.50;15.00;101.00;8.00;15.00;46.00;6.00;11.00;36.00;9.50;9.00;46.00;21.00;20.00;36.00
223;2020;1;1;7.00;5.50;14.00;101.00;7.50;14.00;41.00;6.50;11.00;26.00;10.00;9.00;41.00;26.00;23.00;36.00
224;2020;1;2;8.00;5.50;14.00;81.00;7.00;11.00;26.00;8.00;9.00;21.00;13.00;10.00;31.00;34.00;23.00;36.00
225;2020;2;2;8.00;6.00;14.00;91.00;9.50;18.00;51.00;6.00;12.00;31.00;9.50;8.00;41.00;19.00;17.00;26.00
226;2020;1;1;10.00;6.00;13.00;71.00;6.50;9.00;17.00;11.00;7.50;14.00;19.00;12.00;23.00;51.00;34.00;36.00
227;2020;1;1;17.00;8.00;12.00;41.00;19.00;31.00;81.00;8.50;15.00;36.00;8.50;7.00;34.00;12.00;10.00;15.00
228;2020;0;1;6.50;5.50;17.00;126.00;8.00;15.00;51.00;5.50;12.00;36.00;9.50;9.00;56.00;23.00;21.00;41.00
